GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",139685,139289,145234,150084,158545,149566
02220,"Sitka City and Borough, AK",445473,445161,462914,452528,467019,464402
02230,"Skagway Municipality, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",125993,124712,127758,119519,131396,134876
02240,"Southeast Fairbanks Census Area, AK",399181,287141,320468,339953,471949,687300
02261,"Valdez-Cordova Census Area, AK*",628877,1457108,1520825,1565673,1317260,1401866
02275,"Wrangell City and Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02280,"Wrangell-Petersburg Census Area, AK*",254281,241319,233901,215499,226169,229447
02282,"Yakutat City and Borough, AK*",32603,32747,33009,35672,36350,38371
02290,"Yukon-Koyukuk Census Area, AK",475711,328052,329859,320550,312427,317436
04001,"Apache, AZ",2176830,2100464,2177288,2138478,2179462,2279321
04003,"Cochise, AZ",3647128,3676578,3949401,4038852,4244601,4352073
04005,"Coconino, AZ",5400923,5460131,5555878,5742324,6021846,6249977
04007,"Gila, AZ",1450219,1445568,1484345,1525138,1595040,1753264
04009,"Graham, AZ",614136,642306,684714,691179,737627,795082
04011,"Greenlee, AZ",1048055,953775,1046209,1206153,1482364,1750156
04012,"La Paz, AZ",523874,544324,585030,624658,670971,672396
04013,"Maricopa, AZ",158436974,164004601,175696227,185557480,199920229,209892669
04015,"Mohave, AZ",4130443,4524135,4658992,4988571,5240713,5284605
04017,"Navajo, AZ",2890453,2930187,3065536,2952932,3133219,3170636
04019,"Pima, AZ",34524604,34540965,36643996,36278066,37944905,38659187
04021,"Pinal, AZ",4552789,4927533,5247986,5414546,5802330,6152099
04023,"Santa Cruz, AZ",1356565,1360954,1548611,1431116,1500219,1513746
04025,"Yavapai, AZ",5084868,5260750,5579509,5938528,6447059,6824082
04027,"Yuma, AZ",5087422,5870988,5729104,6314198,6733734,6911276
05001,"Arkansas, AR",752496,793515,874505,926227,876522,914374
05003,"Ashley, AR",847829,867951,840996,864836,908566,989145
05005,"Baxter, AR",1042925,1071180,1069387,1098814,1165992,1213714
05007,"Benton, AR",7248437,7954490,8404437,9022198,9703363,9938069
05009,"Boone, AR",1106490,1145662,1126936,1189495,1236477,1281871
05011,"Bradley, AR",283503,298405,329671,348092,352031,332377
05013,"Calhoun, AR",315814,318994,346153,374273,378081,407845
05015,"Carroll, AR",694317,728206,759536,889650,894760,859551
05017,"Chicot, AR",314638,302716,331698,331321,331949,320864
05019,"Clark, AR",749739,745837,764931,767574,779962,762125
05021,"Clay, AR",409562,432142,492675,476732,464810,464632
05023,"Cleburne, AR",421906,467605,449207,471653,490610,495228
05025,"Cleveland, AR",105660,113723,101354,124424,129654,112401
05027,"Columbia, AR",736993,790094,805070,845678,864885,944117
05029,"Conway, AR",430729,440739,434572,461306,470244,482460
05031,"Craighead, AR",3088766,3254990,3476190,3666471,3811156,3829347
05033,"Crawford, AR",1409907,1409970,1485751,1564585,1631012,1726896
05035,"Crittenden, AR",1575339,1473422,1553561,1575244,1603276,1689246
05037,"Cross, AR",440678,420996,481174,518031,473105,477822
05039,"Dallas, AR",210249,216358,220412,225088,245652,236541
05041,"Desha, AR",438186,438786,512973,487517,494225,493220
05043,"Drew, AR",493309,503434,538542,559606,576743,570043
05045,"Faulkner, AR",2367428,2483711,2586971,2822565,2983308,3291217
05047,"Franklin, AR",431491,444123,468473,520060,532420,541947
05049,"Fulton, AR",158863,169413,175844,183083,194621,204019
05051,"Garland, AR",2720613,2827711,2913688,2999200,3091455,3100325
05053,"Grant, AR",294581,306264,333713,340425,347143,340626
05055,"Greene, AR",1044753,1104237,1178643,1250063,1406377,1561435
05057,"Hempstead, AR",679162,708622,761541,878965,859668,766168
05059,"Hot Spring, AR",710307,752779,746785,815769,840355,905273
05061,"Howard, AR",550525,600199,608018,700255,719673,659776
05063,"Independence, AR",1733816,1732711,1795284,1882842,1970175,1894977
05065,"Izard, AR",252876,272674,275794,282756,281009,274783
05067,"Jackson, AR",454708,451078,490305,539233,512446,531037
05069,"Jefferson, AR",3455379,3401296,3563858,3719709,3728314,3752146
05071,"Johnson, AR",539912,595391,604414,673545,693912,680550
05073,"Lafayette, AR",196838,191721,165789,180537,177276,173253
05075,"Lawrence, AR",407644,430738,472450,459196,449886,468244
05077,"Lee, AR",262540,221649,292895,266006,227109,267631
05079,"Lincoln, AR",250644,242363,269061,280734,265549,259446
05081,"Little River, AR",432658,508095,480289,555374,547352,561890
05083,"Logan, AR",462662,477843,492658,562428,598342,610763
05085,"Lonoke, AR",1030631,1033342,1147260,1225436,1227983,1294722
05087,"Madison, AR",249888,284069,291782,338674,334264,326029
05089,"Marion, AR",260995,300151,295243,332032,352948,347133
05091,"Miller, AR",1260805,1250474,1293538,1388914,1382138,1351371
05093,"Mississippi, AR",1933697,1997559,1928159,1956000,1801992,1950976
05095,"Monroe, AR",215771,205327,237123,223445,232434,243843
05097,"Montgomery, AR",165315,173185,168674,181529,185747,178322
