GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
02063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02068,"Denali Borough, AK",208708,238538,226096,217987,206712,208581,269302,277835,277773
02070,"Dillingham Census Area, AK",226883,228182,242379,263863,261433,259412,266029,279965,271874
02090,"Fairbanks North Star Borough, AK",6387082,6910300,6775344,6888331,6377776,6048355,5983537,5895861,5833875
02100,"Haines Borough, AK",101489,99003,101387,104940,102994,100543,109979,107443,112264
02105,"Hoonah-Angoon Census Area, AK*",(NA),65861,62227,68855,72894,84398,92081,94947,94633
02110,"Juneau City and Borough, AK",2474624,2312819,2358951,2505770,2549731,2496914,2539044,2524869,2435418
02122,"Kenai Peninsula Borough, AK",2574211,2436914,2632990,2726463,2728607,2673803,2811428,3085971,2978887
02130,"Ketchikan Gateway Borough, AK*",890146,926807,954483,948220,960174,947784,970127,949587,959489
02150,"Kodiak Island Borough, AK",710468,733889,747474,789475,822270,830061,860575,868921,836919
02158,"Kusilvak Census Area, AK*",130400,134064,138222,140728,149371,153485,151093,163939,154442
02164,"Lake and Peninsula Borough, AK",156521,101093,79206,83441,87214,88245,91674,92058,91271
02170,"Matanuska-Susitna Borough, AK",1971418,2011647,2107250,2355819,2476933,2556794,2572509,2689339,2713377
02180,"Nome Census Area, AK",435781,466782,384450,451530,460259,424228,431807,449901,447777
02185,"North Slope Borough, AK",7878053,7561958,9970542,8057812,8320069,9888372,8160975,7157539,7002184
02188,"Northwest Arctic Borough, AK",778756,591387,621436,710449,682847,572954,603982,620648,544102
02195,"Petersburg Borough, AK*",(NA),(NA),179222,200709,215761,210826,201229,196149,192591
02198,"Prince of Wales-Hyder Census Area, AK*",(NA),(NA),195287,216651,229360,232094,258384,257526,230194
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",139541,147560,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02220,"Sitka City and Borough, AK",462148,462549,482260,519289,543955,548668,576073,558884,538265
02230,"Skagway Municipality, AK*",(NA),77648,75220,84631,83501,99319,100282,94513,85894
02232,"Skagway-Hoonah-Angoon Census Area, AK*",133732,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02240,"Southeast Fairbanks Census Area, AK",872492,750023,755414,798642,754403,595185,625268,610743,550894
02261,"Valdez-Cordova Census Area, AK*",1558388,1139949,770061,688068,660980,1775771,2217091,2293383,2275112
02275,"Wrangell City and Borough, AK*",(NA),(NA),72270,81442,84085,88406,97173,100780,96499
02280,"Wrangell-Petersburg Census Area, AK*",218261,203929,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02282,"Yakutat City and Borough, AK*",43169,38836,34310,36670,37365,39336,45940,43969,36694
02290,"Yukon-Koyukuk Census Area, AK",375878,353613,346634,412629,468504,430837,321618,267697,259483
04001,"Apache, AZ",2301997,2586830,2560498,2845368,2943866,2800371,2832674,2585349,2568912
04003,"Cochise, AZ",4609239,4689284,4712495,4920718,4980412,4781331,4610485,4450513,4548133
04005,"Coconino, AZ",6799218,6648085,6312290,6722700,7219011,6953191,7198666,7062458,7203886
04007,"Gila, AZ",1937178,1897305,1896102,2043310,2236287,1853469,1989003,1840553,1710638
04009,"Graham, AZ",943982,855148,782667,847363,918380,982410,802932,831679,811938
04011,"Greenlee, AZ",1752179,1895868,1292678,1413019,1551835,1357125,1440717,1607362,1278867
04012,"La Paz, AZ",699089,797503,718085,691403,749109,655298,688845,609390,659297
04013,"Maricopa, AZ",215814510,211208335,191643387,193418704,199565318,207161028,208837671,212344584,219346351
04015,"Mohave, AZ",5390973,5244184,4957045,5019325,5045649,4991518,5195248,5196771,5200633
04017,"Navajo, AZ",3202426,3154458,3060057,3068821,3234327,3179536,3094124,2886069,2784882
04019,"Pima, AZ",40263500,40646756,38050575,39307725,39429067,40385120,39702623,39766496,39561836
04021,"Pinal, AZ",7202952,7421505,6973250,7174757,7814358,7900039,7774586,7829826,7760898
04023,"Santa Cruz, AZ",1545448,1572319,1513011,1589957,1657916,1682386,1659224,1638024,1673910
04025,"Yavapai, AZ",6748023,6856865,6287242,6150727,6131099,6045052,6286978,6543792,6551007
04027,"Yuma, AZ",7273026,6706741,6605482,6975181,6835633,6377496,6742205,6534884,6925399
05001,"Arkansas, AR",864322,903603,976691,950878,943281,958105,1057839,1000232,1020478
05003,"Ashley, AR",986198,977789,918630,950477,989442,946703,943152,905099,864783
05005,"Baxter, AR",1234159,1278417,1162176,1199458,1216608,1177973,1210891,1269557,1258842
05007,"Benton, AR",9781456,9801287,9436283,10041798,10466786,11200816,12097050,12821210,13455145
05009,"Boone, AR",1265781,1263996,1167645,1224576,1241671,1215780,1204655,1251231,1210443
05011,"Bradley, AR",323235,301614,277775,309927,301838,329651,321255,324882,334691
05013,"Calhoun, AR",391647,445737,401430,395737,366569,279443,298618,306821,349746
05015,"Carroll, AR",769486,754777,670127,721634,728073,709031,778427,868927,825981
05017,"Chicot, AR",323415,304492,333135,321714,332457,342452,336081,279278,242959
05019,"Clark, AR",788809,783166,758810,775665,765950,782589,812539,815523,773243
05021,"Clay, AR",419460,434572,493845,468097,413622,420057,430899,373229,323717
05023,"Cleburne, AR",504667,558707,588113,713850,769747,750513,735974,759867,722202
05025,"Cleveland, AR",115678,122895,99665,95111,80373,108156,115734,133606,141372
05027,"Columbia, AR",944106,942517,857389,881556,927759,941428,918355,934152,909286
05029,"Conway, AR",560734,682489,815818,838997,847636,852486,832038,851216,796773
05031,"Craighead, AR",3714734,3780438,3757818,4007970,4172345,4134408,4298671,4258696,4337892
05033,"Crawford, AR",1675706,1640204,1624031,1731545,1715357,1699192,1739104,1746892,1669811
05035,"Crittenden, AR",1643605,1585224,1529418,1525274,1566822,1494649,1629834,1662935,1664259
05037,"Cross, AR",424754,427713,450565,432532,443702,464642,502724,473125,433407
05039,"Dallas, AR",246067,244867,222974,226891,221669,222010,225007,227879,230454
05041,"Desha, AR",494601,509686,543861,563452,555806,526136,553891,503400,556357
05043,"Drew, AR",554960,566640,535735,573511,599635,602773,608053,592925,616491
05045,"Faulkner, AR",3462623,3515008,3626180,3861018,3964708,3977207,3924974,3928958,3858108
05047,"Franklin, AR",496758,468620,432849,414610,409623,412151,420235,437171,436108
05049,"Fulton, AR",188682,187419,194406,195643,199431,191705,189893,193070,179270
05051,"Garland, AR",3074066,2979776,2902818,2977966,3154370,3231311,3227878,3258040,3230244
05053,"Grant, AR",351432,333856,318161,333216,349178,370792,383024,399776,407167
05055,"Greene, AR",1700647,1631887,1208415,1308344,1437144,1492045,1475336,1451669,1411601
05057,"Hempstead, AR",661667,629248,612476,694017,740653,754919,884389,920178,869782
05059,"Hot Spring, AR",887552,864618,851748,836691,846310,941030,918853,857012,950048
05061,"Howard, AR",624011,604010,504977,513091,516423,543590,599840,630705,640875
