GeoFIPS,GeoName,2016,2017,2018,2019,2020,2021,2022,2023,2024
01001,"Autauga, AL",1846256,1762558,1787534,1740015,1749999,1738222,1883611,1907174,1758017
01003,"Baldwin, AL",7113177,7382558,7758980,8145105,8110635,8697749,9224845,9928360,10208956
01005,"Barbour, AL",770750,761761,774076,762090,733805,757063,748152,730176,747750
01007,"Bibb, AL",401486,406741,397141,441282,462167,460926,458937,471817,476273
01009,"Blount, AL",944003,987967,1046736,1012139,907449,1033241,1041201,1086171,1174999
01011,"Bullock, AL",244091,244958,257012,266360,271363,263222,258330,281803,292695
01013,"Butler, AL",611955,630225,653349,637975,602970,640293,647451,665432,702420
01015,"Calhoun, AL",4201651,4244400,4342966,4566934,4479184,4715207,4663474,4845292,4965547
01017,"Chambers, AL",875192,872734,909826,937830,882656,874565,875745,937350,990039
01019,"Cherokee, AL",562801,558805,592093,575262,534860,596579,608839,603805,632989
01021,"Chilton, AL",972795,983589,1032448,1115138,1072090,1099863,1144511,1196469,1261402
01023,"Choctaw, AL",546607,556183,602860,559851,561606,573135,531061,534000,553184
01025,"Clarke, AL",837026,814115,843518,835456,850076,843588,793718,823308,833608
01027,"Clay, AL",366304,393577,467788,425235,424095,438983,447083,411430,427679
01029,"Cleburne, AL",313851,302289,308867,285873,281445,323054,333754,341538,372482
01031,"Coffee, AL",1421695,1426217,1460880,1441736,1404389,1614494,1713754,1712285,1819734
01033,"Colbert, AL",2569947,2453731,2565631,2572699,2546257,2598283,2706227,2789446,2847285
01035,"Conecuh, AL",462424,439777,405083,394986,372753,382968,354394,385845,397455
01037,"Coosa, AL",190165,185492,194981,190407,179105,180110,190382,186612,189287
01039,"Covington, AL",1237588,1269561,1274429,1217301,1216840,1268712,1240148,1241952,1283169
01041,"Crenshaw, AL",415852,441726,476010,464556,374686,421326,459492,465027,500149
01043,"Cullman, AL",2792916,2827288,2845911,2917120,2807681,3045437,3158691,3145736,3288755
01045,"Dale, AL",2841815,2834970,2790050,2824574,2781362,2915655,2918859,3044364,3114449
01047,"Dallas, AL",1231542,1246698,1252898,1262524,1253286,1264050,1259304,1284181,1318245
01049,"DeKalb, AL",1882257,1977689,2065444,2008106,1889162,2140849,2302198,2245520,2384155
01051,"Elmore, AL",1930154,1950579,1990146,2023008,1973072,2065257,2089684,2261193,2430776
01053,"Escambia, AL",1273431,1269744,1250185,1252617,1201892,1207347,1226004,1280044,1299130
01055,"Etowah, AL",3118102,3095515,3131025,3065345,2829779,2923006,2977378,3019090,3120496
01057,"Fayette, AL",360126,344642,340351,345802,336857,347135,345675,363597,368269
01059,"Franklin, AL",909163,968151,1028698,985714,911517,985851,1053467,990508,1043953
01061,"Geneva, AL",569315,523521,535790,564148,562365,583223,584681,601103,614453
01063,"Greene, AL",241279,218678,216735,230241,213279,198108,202091,212127,215850
01065,"Hale, AL",317623,293104,267685,267195,276810,255390,246513,269369,283640
01067,"Henry, AL",415446,422115,432263,444087,449653,466294,468017,488768,516959
01069,"Houston, AL",5265004,5410140,5441082,5548000,5667150,5856782,5860348,6000085,6085531
