"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2016,2017,2018,2019,2020,2021,2022,2023,2024
01001,"Autauga, AL",39005,39906,41062,42538,45089,49254,49879,52989,55710
01003,"Baldwin, AL",42983,44475,45840,47921,50935,56504,57721,61354,63905
01005,"Barbour, AL",31071,31992,33239,34694,37090,41062,41053,41924,44906
01007,"Bibb, AL",28584,28876,30030,32102,34859,37440,38232,40483,41951
01009,"Blount, AL",32533,33784,35278,36554,37789,43062,44085,45863,48543
01011,"Bullock, AL",25160,25715,26117,27176,30773,34222,33623,37052,39403
01013,"Butler, AL",34410,35669,36547,37751,39520,45620,47524,50171,53320
01015,"Calhoun, AL",34013,34695,35643,36761,39595,43320,42684,44970,47333
01017,"Chambers, AL",31441,31257,32527,33550,36084,39439,39568,41763,43944
01019,"Cherokee, AL",34613,35554,37121,37892,39928,44703,44552,45613,47994
01021,"Chilton, AL",32100,33222,34474,36220,38335,42911,43434,45777,48183
01023,"Choctaw, AL",35021,36186,37676,38470,40518,43719,43293,45672,49151
01025,"Clarke, AL",34391,34822,35747,37644,41244,45178,44541,46970,49608
01027,"Clay, AL",29536,30070,31036,31968,35035,39596,39516,39620,42162
01029,"Cleburne, AL",33889,34805,35441,36009,37889,42969,44365,45164,47223
01031,"Coffee, AL",39575,40250,41644,42823,45175,50483,51873,53773,56824
01033,"Colbert, AL",35175,35674,36370,37648,40366,44249,44702,46994,48831
01035,"Conecuh, AL",30380,31559,33108,34183,37079,41517,41313,42980,45620
01037,"Coosa, AL",29701,30591,31953,33441,35716,39232,38883,41597,43813
01039,"Covington, AL",32675,34035,34940,35428,37856,41928,42432,43710,47143
01041,"Crenshaw, AL",34996,36188,37265,37798,39828,45924,48483,48362,52962
01043,"Cullman, AL",35450,36899,38007,39863,41514,47001,49786,50945,53577
01045,"Dale, AL",34398,34956,36101,37343,40004,44297,44902,46314,48767
01047,"Dallas, AL",31964,32587,33386,35142,39316,42624,42265,45130,48214
01049,"DeKalb, AL",29794,30989,32142,32887,34982,40176,42115,42416,45152
01051,"Elmore, AL",38348,39444,40273,41927,44559,48686,48775,52328,55485
01053,"Escambia, AL",30360,31675,32078,33271,36169,40265,40499,42796,45432
01055,"Etowah, AL",34226,35164,36167,37313,39576,42918,43197,45095,47787
01057,"Fayette, AL",32167,33088,34034,35857,38270,42290,43018,43458,45612
01059,"Franklin, AL",30561,31819,33285,33921,36527,40369,42381,41996,44751
01061,"Geneva, AL",32405,33353,34214,35831,38206,42179,42387,44281,46556
01063,"Greene, AL",31015,31650,31555,33411,36802,40556,38672,40604,43030
01065,"Hale, AL",34362,34875,35266,37905,41456,44986,44630,46578,48326
01067,"Henry, AL",39336,40466,42013,44482,46951,53893,53120,54099,56661
01069,"Houston, AL",39520,40363,42059,43907,47460,51716,52035,54877,57714
01071,"Jackson, AL",33934,34715,35957,36957,39025,43280,44272,45890,48078
01073,"Jefferson, AL",48490,51073,53065,54561,57966,65321,67540,72313,75312
01075,"Lamar, AL",31358,31813,32618,34228,36828,39937,40141,42158,44886
01077,"Lauderdale, AL",34808,35238,36382,38290,42085,44977,44918,47167,49560
01079,"Lawrence, AL",31030,32292,33689,35759,37818,42346,43959,44995,47190
01081,"Lee, AL",34720,35651,36517,38989,41028,45303,46178,48614,50811
01083,"Limestone, AL",38822,40622,42453,44370,47402,53281,53967,57214,59614
01085,"Lowndes, AL",35599,37019,37404,39492,43423,48628,50952,53495,58121
01087,"Macon, AL",29113,29361,30139,31494,34745,38053,38786,41616,44788
01089,"Madison, AL",47122,48347,50196,52649,56100,60682,62519,66069,69038
01091,"Marengo, AL",35425,36009,38100,39725,43877,47535,46806,49730,52576
01093,"Marion, AL",30479,31766,32632,33481,37131,41633,43363,45271,47179
01095,"Marshall, AL",33616,34556,35648,37674,41167,46123,47043,48839,51209
01097,"Mobile, AL",35940,36679,37827,39294,42588,47810,48370,51482,53901
01099,"Monroe, AL",31968,32739,33726,35278,38725,42652,42513,44191,46759
01101,"Montgomery, AL",40732,41610,42426,43199,46080,49744,50837,54179,57265
01103,"Morgan, AL",36118,37236,38703,40397,43209,46666,47579,49773,52318
01105,"Perry, AL",29532,31065,31293,32541,37810,40510,40241,42720,44524
01107,"Pickens, AL",31415,33184,33934,36123,39036,44003,41538,42799,45013
01109,"Pike, AL",34680,35698,36714,37768,40937,45723,47569,48719,51706
01111,"Randolph, AL",31840,32872,34020,34940,36450,42148,42760,42915,45447
