"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
02231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",31269,31944,33100,33033,35000,37195
02240,"Southeast Fairbanks Census Area, AK*",23968,26340,30060,31135,34018,33607
02261,"Valdez-Cordova Census Area, AK*",32239,34380,35213,36498,38657,39967
02275,"Wrangell City and Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02280,"Wrangell-Petersburg Census Area, AK*",35656,35753,36796,35575,38001,40807
02282,"Yakutat City and Borough, AK*",28090,30776,34079,38102,38720,41002
02290,"Yukon-Koyukuk Census Area, AK*",24142,24958,26594,27671,29299,30341
02901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
04001,"Apache, AZ",16376,17171,18178,19136,20383,21050
04003,"Cochise, AZ",22188,23253,25218,26439,28018,29367
04005,"Coconino, AZ",24885,25428,26354,27850,29324,31746
04007,"Gila, AZ",20534,21242,22704,23819,25132,26572
04009,"Graham, AZ",15192,15909,17148,18253,19542,21196
04011,"Greenlee, AZ",21183,21171,22615,23394,25155,27429
04012,"La Paz, AZ*",17437,18295,20428,21234,22130,22700
04013,"Maricopa, AZ",29710,30020,31014,33108,35388,38260
04015,"Mohave, AZ",20326,20910,21699,22910,23924,24525
04017,"Navajo, AZ",16693,17447,18939,18965,20187,21364
04019,"Pima, AZ",26669,26838,27938,29058,30734,32895
04021,"Pinal, AZ",18309,18742,19425,21654,24098,24936
04023,"Santa Cruz, AZ",19741,19639,23355,22454,23685,25088
04025,"Yavapai, AZ",22560,22823,23717,25463,27259,28637
04027,"Yuma, AZ*",18747,20228,21615,23540,24215,24859
05001,"Arkansas, AR",23867,23593,27285,29248,27107,28845
05003,"Ashley, AR",21501,21369,23099,23489,24745,26164
05005,"Baxter, AR",22838,23539,23921,24765,25852,27681
05007,"Benton, AR",33566,34489,35957,39034,41951,45693
05009,"Boone, AR",21221,21978,22580,23852,24689,25983
05011,"Bradley, AR",20120,20378,21645,23528,23273,24274
05013,"Calhoun, AR",20109,20862,21213,22239,22780,22860
05015,"Carroll, AR",19378,19039,19670,22155,22534,23233
05017,"Chicot, AR",19090,18712,21246,22164,22428,23118
05019,"Clark, AR",20080,20294,21676,22621,23351,24505
05021,"Clay, AR",19945,19687,22843,23654,23438,24487
05023,"Cleburne, AR",22268,22494,22693,24018,24625,25824
05025,"Cleveland, AR",22875,22891,23621,25959,26559,26668
05027,"Columbia, AR",21655,21804,22683,23958,25308,27153
05029,"Conway, AR",22749,22664,23556,24987,25544,26137
05031,"Craighead, AR",22496,23194,24775,25298,26002,26654
05033,"Crawford, AR",19409,19441,20418,21499,22726,24214
05035,"Crittenden, AR",21564,21790,23693,24776,24888,26454
05037,"Cross, AR",19923,19502,22918,23981,23043,24482
05039,"Dallas, AR",19882,20350,20809,22097,23176,24300
05041,"Desha, AR",19792,19846,23663,23428,23937,25098
05043,"Drew, AR",20517,20748,22856,24861,25473,26114
05045,"Faulkner, AR",23314,23531,24145,25320,26425,27981
05047,"Franklin, AR",20739,20818,21851,23521,23619,23646
05049,"Fulton, AR",16923,17241,17710,17940,18554,19606
05051,"Garland, AR",24408,24709,25606,26906,28386,30136
05053,"Grant, AR",23266,23911,25211,25356,26446,27316
05055,"Greene, AR",20045,19911,21722,23123,23172,24160
05057,"Hempstead, AR",21058,20611,21217,22393,22131,22040
05059,"Hot Spring, AR",19356,19562,20378,22251,23150,23811
05061,"Howard, AR",22085,21595,22134,24748,24944,24269
05063,"Independence, AR",22249,22423,23409,25049,25948,27139
05065,"Izard, AR",19271,19807,20261,21386,21261,22032
05067,"Jackson, AR",21960,21245,23762,23431,22153,22897
05069,"Jefferson, AR",21093,22009,23284,24449,24869,25600
05071,"Johnson, AR",19252,19498,19917,20900,21029,20828
05073,"Lafayette, AR",20867,20600,21703,24385,23971,23904
05075,"Lawrence, AR",19274,19392,21883,22069,21235,21915
05077,"Lee, AR",17489,15886,21502,20411,18486,20435
05079,"Lincoln, AR",16289,15672,17900,19429,18789,18975
05081,"Little River, AR",20160,20348,21767,23536,23726,24431
05083,"Logan, AR",19998,20085,21014,22358,23196,23964
05085,"Lonoke, AR",24408,24602,26541,27174,27719,28991
05087,"Madison, AR",20527,20716,21826,24035,24275,23905
05089,"Marion, AR",17342,17578,18522,20079,20825,22124
05091,"Miller, AR",21699,21676,22432,23827,24635,25752
05093,"Mississippi, AR",26270,27561,27261,25202,23080,24748
05095,"Monroe, AR",19638,18760,22363,22666,22870,24086
05097,"Montgomery, AR",18924,18876,19708,20767,20954,21023
05099,"Nevada, AR",20495,21188,21822,24008,24188,24699
05101,"Newton, AR",16868,17423,17740,19469,19310,20474
05103,"Ouachita, AR",19858,20525,21265,23086,24143,25589
05105,"Perry, AR",22026,21892,22913,23968,24491,25366
05107,"Phillips, AR",19085,18507,21683,22463,21964,22909
05109,"Pike, AR",19605,19500,20227,22292,23323,23234
05111,"Poinsett, AR",20405,20197,23550,24463,24055,24992
05113,"Polk, AR",18668,17869,18533,20264,20899,20931
05115,"Pope, AR",21966,22358,23061,24505,25861,26256
05117,"Prairie, AR",20129,19467,23620,24664,22885,23828
05119,"Pulaski, AR",32356,33390,35173,36370,38814,40064
05121,"Randolph, AR",18679,19061,20555,21592,21735,22662
05123,"St. Francis, AR",17333,17606,18516,20147,19843,20106
05125,"Saline, AR",24409,24618,25153,27666,28599,29847
05127,"Scott, AR",19921,19089,19347,21407,21368,20171
05129,"Searcy, AR",16449,16968,18268,20017,20091,21056
05131,"Sebastian, AR",25170,25397,26513,28849,29764,31425
05133,"Sevier, AR",21397,19748,20456,22275,22427,21977
05135,"Sharp, AR",17833,18037,18782,21201,22082,23028
05137,"Stone, AR",17866,18068,18982,20018,20602,20911
05139,"Union, AR",26994,28874,27954,29475,32445,36700
05141,"Van Buren, AR",19045,19133,19354,20673,21218,22148
05143,"Washington, AR",22506,23359,24233,26494,27594,28683
05145,"White, AR",19973,20549,21875,22994,23666,24832
05147,"Woodruff, AR",19594,18789,22791,22543,21712,22269
05149,"Yell, AR",21199,20873,21627,22981,23511,22710
06001,"Alameda, CA",39290,39063,39978,41472,42921,46093
06003,"Alpine, CA",33764,33669,34995,32589,33584,32627
06005,"Amador, CA",26468,27318,28343,29774,29818,31468
06007,"Butte, CA",24747,25076,25918,27353,28071,29791
06009,"Calaveras, CA",27856,28594,29694,30814,31562,33243
06011,"Colusa, CA",24704,24146,27601,26885,27023,27488
06013,"Contra Costa, CA",46750,45990,46959,49555,51875,55749
06015,"Del Norte, CA",18893,18915,20107,21708,22015,23537
06017,"El Dorado, CA",38438,38817,39625,41414,42961,45304
06019,"Fresno, CA",23460,24611,25863,26923,27597,29137
06021,"Glenn, CA",21449,21677,22582,24480,24893,24563
06023,"Humboldt, CA",25779,26325,27853,29446,29840,31282
06025,"Imperial, CA",20723,22995,23381,23530,24097,25334
06027,"Inyo, CA",29887,29889,31258,34385,36095,38571
06029,"Kern, CA",22337,23116,23974,24985,26034,27293
06031,"Kings, CA",18473,20159,22104,23201,23663,23514
06033,"Lake, CA",24795,25736,26168,26568,26722,28083
06035,"Lassen, CA",19113,20169,21156,21687,22292,23805
06037,"Los Angeles, CA",30783,31342,32655,34494,36606,39784
06039,"Madera, CA",20100,21264,22035,23665,24126,24905
06041,"Marin, CA",73417,70831,71504,76517,80034,86274
06043,"Mariposa, CA",24168,24926,25649,28313,29557,31371
06045,"Mendocino, CA",27821,28273,28769,29613,29830,31822
06047,"Merced, CA",20813,21532,22910,24467,24839,25255
06049,"Modoc, CA",22526,25027,25253,25755,27383,27930
06051,"Mono, CA",29786,30996,34274,35830,38459,37171
06053,"Monterey, CA",31627,31852,33333,34337,35856,39070
06055,"Napa, CA",40891,40968,41027,41480,43781,45918
06057,"Nevada, CA",33774,33898,35122,37838,39031,42079
06059,"Orange, CA",39097,39681,41653,43948,46849,50360
06061,"Placer, CA",40503,40018,41238,43207,44390,46336
06063,"Plumas, CA",28792,29248,30737,32909,32845,34829
06065,"Riverside, CA",25497,25928,26872,27898,29226,30795
06067,"Sacramento, CA",31542,31984,33121,34253,35225,36975
06069,"San Benito, CA",27711,27699,29030,30510,31674,34115
06071,"San Bernardino, CA",23631,24353,25406,26680,27610,28874
06073,"San Diego, CA",34192,35306,37102,39831,41457,43473
06075,"San Francisco, CA",56610,55101,55558,59294,64790,71398
06077,"San Joaquin, CA",26223,26612,27620,28715,29693,31082
06079,"San Luis Obispo, CA",30341,31286,32380,34151,35336,37745
06081,"San Mateo, CA",58377,54966,55712,59805,64351,71196
06083,"Santa Barbara, CA",33833,33590,35218,39165,41163,44226
06085,"Santa Clara, CA",51332,48570,49057,50509,52884,57611
06087,"Santa Cruz, CA",39611,38990,39581,41075,41417,43669
06089,"Shasta, CA",27466,27892,28318,28875,29352,31302
06091,"Sierra, CA",25560,24537,24926,25664,26237,26359
06093,"Siskiyou, CA",24414,25234,25706,27225,26948,28881
06095,"Solano, CA",30187,30931,32098,32965,33987,35768
06097,"Sonoma, CA",38091,38104,38524,38865,40023,42764
06099,"Stanislaus, CA",24837,25391,26164,27733,28371,29359
06101,"Sutter, CA",25509,25920,26987,28460,28964,30870
